SUBJ	QTR	N-S-IS	N-C-IS	PREF-IS	COMF-ISC	N-S-SC	N-C-SC	PREF-SC	COMF-CSC	N-S-IN	N-C-IN	PREF-IN	COMF-INC	N-S-A	N-C-A	PREF-A	COMF-AC	N-S-S	N-C-S	PREF-S	COMF-S	N-S-F	N-C-F	PREF-F	COMF-FC	N-S-FI	N-C-FI	PREF-FI	COMF-FIC	N-S-SCIA	N-C-SCIA	PREF-SCIA	COMF-SCIAC	N-S-POP	N-C-POP	PREF-POP	COMF-POPC	N-S-TAP	N-C-TAP	PREF-TAP	COMF-TAPC	N-S-PARA	N-C-PARA	PREF-PARA	COMF-PARAC	Avgblocksuccessrate(p)	Numberofinadvertentvascularpunturew/oinjection(n)	Numberofintravascularinjectionsresultinginseizuresorcardiacarrest(n)	Obstacles:Inadequateproceduralskills	Obstacles:AvailabilityofUSequipment	Obstacles:Timepressure	Obstacles:Lackofsupportfromsurgeons	Obstacles:Lackofsupportfromotherhealthcareproviders	Obstacles:Preferenceforothernervelocalizationtechniques	Obstacles:Patientcompliance	Obstacles:Patientrefusal	Obstacles:Patientpathology	Obstacles:other	EffectiveTeachingMethods:Lectures	EffectiveTeachingMethods:Scanningonmodels	EffectiveTeachingMethods:Phantompractice	EffectiveTeachingMethods:Observation	EffectiveTeachingMethods:Onlinetutorials	EffectiveTeachingMethods:Textbooks	EffectiveTeachingMethods:Teachingbycolleagues	EffectiveTeachingMethods:Mannequinsimulation	EffectiveTeachingMethods:Cadaverlab	UsedLearningMethods:Lectures	UsedLearningMethods:Scanningonmodels	UsedLearningMethods:Phantompractice	UsedLearningMethods:Observation	UsedLearningMethods:Onlinetutorials	UsedLearningMethods:Textbooks	UsedLearningMethods:Teachingbycolleagues	UsedLearningMethods:Mannequinsimulation	UsedLearningMethods:Cadaverlab	Feedback/Comments/Suggestions:
15	0	3	0	2	5	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	96	0	0	5	2	4	3	0	4	0	0	0	0	3	3	2	3	3	3	3	4	4	1	1	1	1	0	1	1	0	0	0
15	1	3	1	1	3	0	0	2	4	1	0	1	2	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	90	0	0	3	4	3	3	3	3	2	3	2	Inability to commincate (language barrier), lack of availability of continuous infusion devices at our hospital and surgery centers	5	5	5	3	3	3	3	3	4	0	0	0	1	1	1	1	0	0	0
15	2	1	0	2	3	0	0	2	3	0	0	2	2	0	0	2	1	0	0	2	2	0	0	2	2	0	0	2	2	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	100	0	0	3	5	3	3	3	1	1	1	1	0	3	3	5	4	3	3	2	0	4	0	0	0	0	1	1	1	0	0	0
15	3	1	0	3	3	1	0	3	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	83	0	0	3	4	3	3	3	1	2	3	3	Language barrier, follow-up protocol. Work with vendor to have infusion pumps available when needed	4	4	5	4	3	3	3	4	4	0	0	0	0	1	1	1	0	0	0
15	4	5	0	2	2	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	100	0	0	4	4	4	3	5	5	2	2	2	0	3	3	4	3	4	3	3	4	4	0	0	0	1	1	1	1	0	0	0
16	0	15	0	2	4	4	0	2	3	0	0	0	0	2	0	2	3	0	0	0	0	10	1	2	4	0	0	0	0	0	0	0	0	4	0	2	4	0	0	0	0	0	0	0	0	90	2	0	4	3	5	3	0	1	0	0	0	0	2	3	0	2	0	2	3	0	0	1	1	0	1	0	1	1	0	0	0
16	1	12	4	1	4	4	0	1	4	0	0	1	3	0	0	1	3	0	0	1	1	4	4	1	5	0	0	1	1	0	0	1	1	2	4	1	5	0	0	1	1	0	0	1	1	95	0	0	4	4	5	2	2	2	2	2	3	0	2	2	4	3	3	2	3	4	5	0	0	1	1	1	0	1	0	0	Asked if whole group could come for training.Stated that the workshop was the best training that he has had comparatively
16	2	12	4	1	4	4	1	1	4	0	0	1	1	0	0	1	3	0	0	1	1	8	8	1	5	0	0	1	1	0	0	1	1	4	4	1	5	0	0	1	1	0	0	1	1	99	0	0	4	3	4	2	2	4	2	2	2	0	1	2	4	4	3	2	4	4	5	0	0	0	1	1	0	1	0	0	Again stated that the workshop was the best training that he has had comparatively
16	3	8	4	1	4	4	2	1	4	0	0	1	1	0	0	1	3	0	0	1	1	4	4	1	5	0	0	1	1	0	0	1	1	4	2	1	4	0	0	1	1	0	0	1	1	98	0	0	3	3	4	2	2	3	2	2	2	0	1	3	5	4	3	2	4	5	5	0	0	0	1	1	0	1	0	0	Would like to come back for more training on other blocks that he has not done before. States that he primarily focused on familiar blocks in workshop
16	4	10	2	3	4	4	0	3	4	0	0	3	3	0	0	3	4	0	0	3	1	10	4	3	5	0	0	3	1	0	0	3	1	8	2	3	5	0	0	3	1	0	0	3	1	99	0	0	3	2	3	2	3	2	2	2	2	0	1	2	5	4	3	2	3	4	5	0	0	0	1	1	0	1	0	0	0
17	0	4	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	95	0.5	0	5	2	3	3	0	1	0	0	0	0	3	4	4	5	4	4	5	4	4	1	0	0	1	1	1	1	0	0	0
17	1	2	0	3	3	6	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	2	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	100	0	0	1	1	1	5	1	1	1	1	1	0	2	2	4	4	3	2	4	3	3	1	1	0	1	0	1	1	1	0	Surgeons are not supportive of catheter use, though we continue to discuss it. Above answer choices do not seem to allow for this situation, eg. Cannot judge comfort level.
17	2	2	0	3	1	5	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	93	0	0	1	1	1	5	1	1	1	1	1	0	3	4	3	4	3	3	5	3	4	0	0	0	1	1	1	1	0	0	Surgeons are not open to catheters because of feared risk of infection after few complications over the years and feel 1-2 days from long acting single shots are adequate
17	3	4	0	3	4	4	0	3	4	0	0	3	1	0	0	3	4	0	0	3	5	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	100	0	0	1	1	4	5	1	1	1	1	1	0	3	3	3	4	2	3	5	4	3	0	0	0	1	1	1	1	0	0	Surgeons are simply not interested unfortunately they fear infection
17	4	3	0	3	4	10	0	3	4	0	0	3	1	0	0	3	1	0	0	3	1	2	0	3	4	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	95	0	0	1	1	1	5	1	1	1	1	1	0	3	3	4	4	3	3	5	3	4	0	0	0	1	1	1	1	0	0	0
18	0	6	0	3	2	1	0	3	1	1	0	3	1	4	0	3	1	2	0	1	1	3	4	3	4	0	0	1	2	0	0	3	1	5	0	3	2	0	0	1	2	0	0	1	1	85	0	0	5	2	3	4	0	1	0	0	0	0	3	4	3	4	4	2	3	4	4	1	1	0	1	1	0	1	0	0	0
18	1	12	0	3	4	2	0	1	4	2	0	1	4	8	0	3	3	3	0	1	3	6	4	3	4	0	0	0	3	0	0	0	1	9	1	3	4	0	0	0	2	0	0	0	2	90	1	0	2	2	3	4	2	2	2	1	2	Surgeon don’t request it, they request for single shot and equipment is expensive	4	4	4	4	3	2	3	2	3	1	1	0	1	1	0	1	0	0	Surgeon don’t request it, they request for single shot and equipment is expensive
18	2	5	0	3	2	0	0	1	4	1	0	3	3	4	0	3	4	1	0	1	3	6	5	3	4	0	0	1	1	0	0	3	1	5	1	3	4	0	0	1	2	0	0	1	1	95	1	0	3	2	3	3	2	1	2	2	2	0	2	3	5	3	3	2	3	4	2	1	0	0	1	1	0	1	0	0	0
18	3	7	0	3	2	2	0	1	2	0	0	3	1	3	0	3	3	2	0	1	2	6	5	3	4	0	0	1	2	0	0	3	1	4	0	3	3	0	0	1	2	0	0	1	1	90	0	0	3	2	3	2	2	1	2	2	2	0	3	4	5	3	3	2	5	4	2	0	0	0	1	1	0	0	0	0	0
18	4	8	0	3	2	2	0	1	1	0	0	1	2	2	0	3	3	5	5	1	3	3	3	3	4	0	0	1	2	0	0	3	1	6	0	3	2	0	0	1	2	0	0	1	1	90	0	0	3	3	4	3	2	1	2	2	3	0	2	3	4	3	3	2	3	4	3	0	1	0	1	1	0	1	0	0	data on block success rate is tough…we put blocks in, others actually care for the patients intraop; hard to get true sense of block success
19	0	(contact) 15	0	3	1	12	4	3	1	0	0	NA	1	0	0	NA	1	1	0	1	1	10	0	3	1	0	0	0	1	0	0	0	1	5	0	3	1	0	0	0	1	0	0	0	1	77.5	less than 5	0	5	3	5	5	0	5	0	0	0	0	5	5	2	5	5	3	5	5	5	1	1	0	1	1	0	1	0	0	0
19	1	lost to follow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	2	lost to follow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	3	lost to follow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	4	lost to follow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	0	3	0	2	2	0	0	2	1	0	0	2	1	0	0	1	3	0	0	0	1	3	0	2	4	0	0	0	1	0	0	2	1	5	0	2	4	0	0	0	1	0	0	0	1	90	less than 5	0	3	5	3	3	0	3	0	0	0	0	3	4	3	5	3	3	5	3	4	1	0	0	1	1	1	1	0	0	0
20	1	1	0	3	2	0	0	3	2	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	2	0	0	3	1	0	0	3	1	3	3	3	4	0	0	3	2	0	0	3	1	80	0	0	3	4	3	3	2	2	2	2	2	0	2	3	3	3	2	1	4	3	3	0	1	0	1	0	0	1	0	0	0
20	2	3	0	2	3	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	2	0	2	3	0	0	2	1	0	0	2	1	2	2	3	4	0	0	1	1	0	0	1	1	100	0	0	3	4	3	3	2	3	2	2	1	0	3	4	4	5	4	2	4	3	3	0	0	0	1	0	0	1	0	0	0
20	3	0	0	3	3	0	0	3	1	0	0	3	1	0	0	3	2	0	0	2	1	0	0	2	3	0	0	3	1	0	0	3	1	0	0	3	4	0	0	1	3	0	0	1	1	0	0	0	3	5	3	2	2	4	2	2	2	0	3	4	3	5	4	3	4	4	3	0	0	0	0	0	1	1	0	0	Stated did not have chance to do blocks and that interscalene blocks are being strongly de-emphasized after the editorial in Anesthesiology that argues there may be a high (1:1000) risk of permanent PHRENIC nerve paralysis with ISB
20	4	0	0	3	4	0	0	1	1	0	0	1	1	0	0	3	3	0	0	2	1	0	0	2	3	0	0	1	1	0	0	1	1	0	0	3	4	0	0	1	4	0	0	1	1	0	0	0	3	4	3	2	2	3	3	2	1	0	3	4	3	5	2	2	4	3	3	0	0	0	1	0	0	0	0	0	0
21	0	10	0	1	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	6	0	1	4	0	0	1	1	1	0	1	2	2	0	1	2	0	0	1	1	0	0	1	1	80	2	0	5	1	5	4	0	1	0	0	0	0	1	3	3	5	4	2	5	5	5	1	0	0	1	1	1	1	0	0	0
21	1	5	0	3	2	0	0	3	1	0	0	3	1	0	0	3	1	0	0	1	1	4	0	3	3	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	95	0	0	1	1	4	5	4	3	4	3	2	0	3	3	5	5	5	2	5	4	4	0	0	0	1	1	0	1	0	0	0
21	2	3	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	99	0	0	3	3	5	5	4	1	2	1	2	0	3	3	4	3	3	1	3	3	5	1	0	0	1	1	1	1	0	0	Surgeons limited femoral blocks and only allow interscalene blocks post-operatively if pain is uncontrollable
21	3	4	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	100	0	0	1	1	5	5	5	1	2	3	3	0	3	1	3	4	5	1	5	2	2	1	0	0	1	1	1	1	0	0	The biggest obstacle for doing blocks is that surgeons are reluctant
21	4	7	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	2	0	3	1	0	0	3	1	0	0	3	1	2	0	3	1	0	0	3	1	0	0	3	1	95	0	0	5	2	5	5	4	3	2	2	3	0	4	2	2	4	5	2	5	4	4	1	0	0	1	1	1	1	0	0	Surgeon are not convinced that patient will not experience numbness after receiving a catheter. They prefer single shot over catheters bc of this concern
22	0	20	0	2	1	0	0	0	1	0	0	0	1	2	0	2	1	0	0	0	1	10	0	2	1	0	0	0	1	0	0	0	1	15	0	2	1	0	0	0	1	0	0	0	1	85	5	0	5	4	4	4	0	5	0	0	0	0	3	3	3	5	4	3	5	3	3	1	0	0	1	1	1	1	0	0	0
22	1	10	0	3	2	0	0	3	1	0	0	3	1	2	0	3	1	0	0	3	2	10	0	3	2	0	0	3	1	0	0	3	1	12	0	3	2	0	0	3	1	0	0	3	1	90	2	0	4	4	4	4	3	2	2	2	2	0	4	5	5	3	3	3	4	4	3	1	1	0	1	1	1	1	0	0	need a follow-up lab workshop
22	2	3	1	3	2	2	0	3	2	0	0	3	1	2	0	3	2	1	0	3	1	1	1	3	2	0	0	3	1	0	0	3	1	3	1	3	2	0	0	3	1	0	0	3	1	100	0	0	3	3	4	3	3	2	3	4	2	0	4	5	5	5	4	3	4	4	3	1	0	1	1	1	1	1	0	0	your program taught me so much, the real problem is that surgeons lack interest
22	3	4	1	3	2	0	0	3	1	0	0	3	1	2	0	3	1	0	0	3	1	3	0	3	1	0	0	3	1	0	0	3	1	4	0	3	1	0	0	3	1	0	0	3	1	100	0	0	5	3	4	4	4	3	3	3	3	0	4	5	5	5	4	3	4	3	3	1	0	0	1	1	1	1	0	0	we just do enough blocks to get comfortable and efficent with Cathys
22	4	3	0	3	2	2	0	3	2	1	0	3	2	1	0	3	2	0	0	3	1	4	0	3	2	0	0	3	2	0	0	3	1	3	0	3	4	0	0	3	2	0	0	3	1	100	0	0	3	3	4	5	5	3	3	3	3	0	4	5	5	5	4	3	5	3	3	1	1	1	1	1	0	1	0	0	we must educate the orthopods
23	0	5	0	3	1	0	0	0	1	0	0	0	1	3	0	3	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	70	2	0	5	1	3	3	0	2	0	0	0	0	2	5	5	5	4	3	4	5	5	1	1	1	1	1	1	1	0	0	Mannequin simulation and cadaver lab training unavailable 
23	1	1	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3	1	0	1	3	3	0	1	3	0	0	1	3	0	0	1	3	1	0	1	3	0	0	1	3	0	0	1	3	100	1	0	5	1	2	5	2	1	1	1	2	0	2	3	5	3	2	1	4	5	5	1	1	1	1	1	1	1	0	0	Started new job 4/1  and have not done any blocks (BWH). They require a great number of blocks but not catheters for day surgery. Hoping to implement program at the private hospital where I will end up.
23	2	1	0	1	1	3	1	1	3	0	0	1	1	1	0	1	1	2	0	1	1	3	1	3	3	0	0	1	1	0	0	1	1	3	0	1	1	0	0	1	1	0	0	1	1	98	0	0	3	4	3	3	2	1	2	1	2	0	2	3	4	3	3	2	4	4	5	0	0	0	1	1	1	1	0	0	0
23	3	10	0	1	3	12	0	1	3	0	0	1	3	0	0	1	3	8	0	1	3	10	0	2	3	0	0	1	3	3	0	1	3	8	0	1	3	0	0	1	3	10	0	1	3	80	0	0	1	1	3	5	5	1	1	1	1	lack of dept support	2	3	3	3	3	2	3	3	3	0	0	0	1	1	1	1	0	0	0
23	4	8	0	1	3	6	0	1	3	0	0	0	0	0	0	0	0	4	0	1	3	8	0	1	3	0	0	0	0	0	0	0	0	6	0	1	3	0	0	0	0	4	0	blind/artiolaminar vs ultrasound-guided	0	98	0	0	1	1	4	4	4	1	2	2	2	0	2	3	4	4	3	2	4	5	5	1	0	0	1	1	1	1	0	0	0
24	0	2	0	2	1	2	0	2	1	0	0	0	0	4	0	2	1	0	0	0	0	4	0	2	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	20	0	1	1	2	2	0	2	0	0	0	0	4	4	4	4	4	3	3	4	3	1	1	1	1	1	1	1	1	1	0
24	1	6	2	1	3	2	0	1	2	0	0	1	2	4	0	3	2	0	0	1	2	8	4	1	3	4	0	1	2	0	0	1	2	4	0	1	2	0	0	1	2	0	0	1	2	80	1	0	5	3	4	3	3	2	4	3	3	0	4	5	4	4	4	4	4	4	4	4	0	0	0	1	1	1	0	0	excellent workshop
24	2	5	1	1	3	3	0	1	2	0	0	1	2	4	0	1	2	2	0	1	2	6	2	1	2	3	2	1	2	0	0	1	2	6	0	1	2	0	0	1	2	0	0	1	2	80	0	0	4	3	4	3	3	3	3	3	3	0	4	4	5	4	4	4	4	4	4	1	0	0	1	1	1	1	0	0	0
24	3	6	2	1	3	4	1	1	3	0	0	1	3	4	2	1	3	2	0	1	3	8	2	1	3	4	0	1	3	0	0	1	3	8	2	1	3	0	0	1	3	2	0	1	3	80	0	0	4	3	4	3	3	3	3	3	3	0	4	4	4	4	4	4	4	4	4	1	0	0	1	1	1	1	0	0	great workshop. Thanks you
24	4	8	3	3	3	6	2	3	3	0	0	3	1	2	1	3	3	2	0	3	1	10	2	3	3	2	0	3	1	0	0	3	1	4	0	3	1	0	0	3	1	0	0	3	1	75	1	0	4	3	4	3	3	2	2	2	3	0	4	4	4	4	4	4	4	4	4	0	0	0	1	1	1	1	0	0	good course
25	0	5	0.5	1	4	5	0.5	1	4	0	0	0	1	0	0	1	5	0	0	0	1	2	0	1	5	0	0	0	1	0	0	0	1	1	0	1	4	0	0	0	1	0	0	0	1	100	0	0	1	1	1	1	0	1	0	0	0	0	2	2	5	1	2	2	1	5	5	1	1	0	1	1	1	1	0	0	0
25	1	3	0	1	5	4	2	1	5	0	0	1	1	0	0	1	4	1	1	1	4	3	0	1	4	0	0	1	1	0	0	1	1	2	1	1	4	0	0	1	1	0	0	1	1	93	0	0	3	1	1	2	4	1	3	3	3	0	4	5	5	5	4	4	5	5	5	1	1	1	1	1	1	1	1	0	Please publish a guide for your excellent approaches
25	2	8	0	1	5	5	0	1	5	0	0	1	3	0	0	1	5	0	0	1	3	4	0	1	5	0	0	1	2	0	0	1	2	3	0	1	5	0	0	1	1	0	0	1	1	100	0	0	2	1	1	2	3	1	2	3	2	0	5	5	5	5	4	4	5	5	4	1	0	0	1	1	1	1	0	0	0
25	3	3	0	1	5	2	0	1	5	0	0	1	3	0	0	1	5	0	0	1	3	1	0	1	5	0	0	1	3	0	0	1	2	0	0	1	5	0	0	1	1	0	0	1	1	100	0	0	3	1	1	3	3	1	3	3	3	Exparel has almost stopped catheter placement	4	5	4	4	4	4	5	3	5	1	0	1	1	1	1	1	0	0	0
25	4	5	0	1	5	5	0	1	5	0	0	1	3	0	0	1	5	1	0	1	4	3	0	1	5	0	0	1	1	0	0	1	1	1	0	1	5	0	0	1	1	0	0	1	1	100	0	0	3	1	2	2	3	1	3	3	2	Exparel has almost stopped catheter placement	4	4	4	5	4	4	5	4	5	1	0	0	1	1	1	1	0	0	Surgeons prefer exparel or single shots
26	0	1	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	30	0	0	5	5	4	3	0	3	0	0	0	0	3	2	2	4	3	3	3	0	0	1	1	0	1	1	1	1	0	0	witnessed intravascular injections that resulted in seizures or cardiac arrest as a resident
26	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	4	3	4	3	3	2	2	2	2	0	3	3	2	3	3	2	4	3	0	1	0	0	1	1	1	1	0	0	0
26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	4	3	3	3	3	3	2.5	2	3	0	3	4	4	4	4	4	4	4	4	0	0	1	1	1	1	1	0	0	0
26	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	0	3	3	4	4	4	3.5	4	2	3	0	3	3	3	3.5	3	2	4	4	4	0	0	0	0	0	1	0	0	0	0
26	4	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	0	3	3	4	4	4	3.5	4	2	3	0	3	3	3	3.5	3	2	4	4	4	0	0	0	0	0	1	0	0	0	0
27	0	10	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	6	0	2	2	0	0	0	1	4	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	75	0.5	0	5	1	3	3	0	4	0	0	0	0	3	4	5	4	2	2	3	4	5	1	0	0	1	0	0	1	0	0	0
27	1	5	0	2	1	0	0	2	1	0	0	2	1	2	0	2	1	0	0	2	1	4	0	2	3	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	100	0	0	4	4	4	3	2	4	2	2	2	0	3	4	4	3	2	2	4	4	5	0	0	0	1	0	0	1	0	0	0
27	2	6	0	2	2	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	4	0	2	4	0	0	2	1	2	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	90	0	0	4	3	5	4	3	4	1	2	2	0	2	4	3	3	3	2	4	4	4	0	0	0	1	0	0	1	0	0	0
27	3	6	0	3	3	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	4	0	2	1	0	0	2	1	0	0	2	1	1	0	2	1	0	0	2	1	0	0	2	1	90	0	0	4	3	4	4	3	4	2	2	2	0	3	4	4	3	3	2	4	3	4	0	0	0	1	0	0	1	0	0	0
27	4	4	0	3	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	6	0	3	3	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	0	0	2	1	90	0	0	4	3	4	4	4	3	2	2	2	0	3	4	4	4	4	2	4	2	4	0	0	0	1	1	0	1	0	0	0
28	0	0.5	0	1	1	0.5	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	80	0	0	3	1	5	3	0	1	0	0	0	0	5	5	5	5	5	5	5	5	5	1	1	0	1	1	1	1	1	0	0
28	1	4	0	1	1	2	0	1	1	0	0	1	1	2	0	1	4	0	0	1	1	4	0	1	1	0	0	1	1	0	0	1	1	2.5	0	1	1	0	0	1	1	0	0	1	1	100	0	0	3	1	3	3	3	1	3	3	3	0	4	3	4	5	4	4	4	4	5	1	0	0	1	1	1	1	0	0	0
28	2	5	0	1	1	2	0	1	1	0	0	1	1	2	0	2	1	0	0	1	1	2	0	1	1	0	0	1	1	5	0	1	1	5	0	1	1	0	0	1	1	0	0	1	1	90	0	0	4	3	5	3	5	5	3	3	5	0	4	4	5	5	4	4	5	5	5	0	0	0	0	0	1	0	0	0	0
28	3	5	0	1	1	2	0	1	1	0	0	1	1	3	0	3	1	0	0	1	1	6	0	1	1	0	0	1	1	0	0	1	1	4	0	3	1	0	0	1	1	0	0	1	1	100	0	0	4	2	5	3	3	1	3	3	3	0	4	5	5	5	4	4	4	5	5	0	0	0	1	1	1	1	0	0	0
28	4	6	0	1	2	2	0	1	1	0	0	1	1	4	0	3	2	0	0	1	1	4	0	1	2	0	0	1	1	0	0	1	1	5	0	1	1	0	0	1	1	0	0	1	1	90	0	0	3	3	5	3	3	2	2	4	3	0	4	5	5	5	4	4	5	5	5	1	0	0	1	1	1	0	0	0	We are getting some new anesthesiologists that are comfortable with placing catheters; then our comfort with catheter placement should be improved.
29	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	1	0	5	4	3	3	0	3	0	0	0	0	1	3	3	4	3	1	4	4	4	1	1	0	1	1	1	1	0	0	0
29	1	2	1	3	3	0	0	1	2	0	0	1	1	0	0	1	1	0	0	1	1	1	1	3	4	0	0	1	2	0	0	3	1	1	0	1	2	0	0	1	1	0	0	1	1	80	0	0	2	4	2	1	1	1	1	2	2	lack of cases	5	5	5	5	3	2	5	2	2	1	0	0	1	1	0	1	0	0	0
29	2	3	1	3	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	3	3	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	99	0	0	2	3	4	2	1	1	2	2	2	0	3	4	4	4	3	2	5	3	2	0	0	0	1	1	0	1	0	0	0
29	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	3	4	3	2	1	1	3	3	2	not much of a demand/out of work	3	4	3	5	5	3	5	0	0	1	0	0	1	1	0	1	0	0	0
29	4	5	0	1	2	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	90	0	0	2	4	4	3	1	1	3	3	2	0	2	2	3	4	4	2	5	3	1	0	0	0	1	1	0	0	1	1	0
